"title","subtitle","authors","categories","thumbnail","description","published_year","average_rating","num_pages","short_descript"
"The Collected Dorothy Parker","","Dorothy Parker","Classical fiction","http://books.google.com/books/content?id=9ch-AAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api","""With a biting wit and perceptive insight, Dorothy Parker examines the social mores of her day and exposes the darkness beneath the dazzle."" -- Provided by publisher.","2001","4.29","604","""With a biting wit and perceptive insight, Dorothy Parker examines the social mores of her day and exposes the darkness beneath the dazzle."" -- Provided by publisher."
"The Log from the Sea of Cortez","","John Steinbeck","Biography & Autobiography","http://books.google.com/books/content?id=9CrIfTlBqccC&printsec=frontcover&img=1&zoom=1&source=gbs_api","This light-hearted journal tells of John Steinbeck's fishing trip with Ed Ricketts. Combining science and adventure, Steinbeck voices his deeply-held views of man's place in the natural world.","2001","3.84","288","This light-hearted journal tells of John Steinbeck's fishing trip with Ed Ricketts. Combining science and adventure, Steinbeck voices his deeply-held views of man's place in the natural world."
"Ovid's Metamorphoses","","Ovid","Drama","http://books.google.com/books/content?id=9CUGvAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api","Ovid's Metamorphosesis a weaving-together of classical myths, extending in time from the creation of the world to the death of Julius Caesar. This volume provides the Latin text of the first five books of the poem and the most detailed commentary available in English of these books.","1997","4.25","584","Ovid's Metamorphosesis a weaving-together of classical myths, extending in time from the creation of the world to the death of Julius Caesar. This volume provides the Latin text of the first five book"
"Mary Wollstonecraft Shelley's Frankenstein, or, The modern Prometheus","","Mary Wollstonecraft Shelley;Susan J. Wolfson","Fiction","http://books.google.com/books/content?id=9DcrAQAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api","From the Longman Cultural Editions series, this second edition of Frankenstein presents Mary Shelley's remarkable novel in several provocative and illuminating contexts: cultural, critical, and literary. Series Editor Susan J. Wolfson presents the 1818 version of Mary Shelley's famous novel in its cultural and historical contexts. Like all great works of fiction, Frankenstein gains depth and dimension from its ""conversation"" with contemporary texts, especially those by Shelley's own parents, husband, and friends. A lively introduction is complemented by a chronology coordinating Shelley's life with key historical events and a speculative calendar of the novel's events in the late eighteenth century. In addition to the 1818 text, this cultural edition features the introduction to and a sample revision of the 1831 version. New to this Edition is Frankentalk, a section of selected references to Frankenstein in the popular press, and the complete text of Richard Brinsley Peakeâ€™s Frankenstein, A Romantic Drama, the first stage version of Frankenstein.","2007","3.78","431","From the Longman Cultural Editions series, this second edition of Frankenstein presents Mary Shelley's remarkable novel in several provocative and illuminating contexts: cultural, critical, and litera"
"Belle Ruin","","Martha Grimes","Fiction","http://books.google.com/books/content?id=9DmkaAnLfrgC&printsec=frontcover&img=1&zoom=1&source=gbs_api","Discovering the crumbling remains of a once-fabulous hotel in the woods near her small home town, twelve-year-old cub reporter Emma Graham stumbles upon clues pertaining to a forty-year-old unsolved crime involving deeply buried family secrets. By the author of The Winds of Change. Reprint. 100,000 first printing.","2006","3.51","368","Discovering the crumbling remains of a once-fabulous hotel in the woods near her small home town, twelve-year-old cub reporter Emma Graham stumbles upon clues pertaining to a forty-year-old unsolved c"
"The Lightning Thief","","Rick Riordan","JUVENILE FICTION","http://books.google.com/books/content?id=9DU2AAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api","After learning that he is the son of a mortal woman and Poseidon, god of the sea, twelve-year-old Percy is sent to a summer camp for demigods like himself, and joins his new friends on a quest to prevent a war between the gods.","2006","4.24","483","After learning that he is the son of a mortal woman and Poseidon, god of the sea, twelve-year-old Percy is sent to a summer camp for demigods like himself, and joins his new friends on a quest to prev"
"L'usage de plaisirs","","Michel Foucault","Sex","http://books.google.com/books/content?id=9DXVngEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api","Offers an account of the emergence of Christianity from the Ancient World. Foucault describes the stranger byways of Greek medicine (with its advice on the healthiest season for sex and exercise and diet), the permitted ways of courting young boys, and the economists' ideas about the role of women.","1992","4.07","304","Offers an account of the emergence of Christianity from the Ancient World. Foucault describes the stranger byways of Greek medicine (with its advice on the healthiest season for sex and exercise and d"
"Shadow of the Moon","","Rebecca York","Fiction","http://books.google.com/books/content?id=9EV0CVre_yQC&printsec=frontcover&img=1&zoom=1&source=gbs_api","Samantha Carpenter must join forces with reporter--and werewolf--Lance Marshall to find the truth surrounding her sister's mysterious coma by gaining entrance to a secretive club called The Castle, where they, while searching for answers, stumble upon a dark evil, and a passion like no other. Original.","2006","3.79","336","Samantha Carpenter must join forces with reporter--and werewolf--Lance Marshall to find the truth surrounding her sister's mysterious coma by gaining entrance to a secretive club called The Castle, wh"
"Goddess of the Sea","","P. C. Cast","Fiction","http://books.google.com/books/content?id=9eYDAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api","When Air Force Sergeant Christine Canady wishes for a little magic in her life, she is transported to a mystical realm where she takes the form of the legendary mermaid Undine, but when the waters become dangerous, Christine must seek safety on land and in the arms of a handsome knight. Original.","2003","3.88","368","When Air Force Sergeant Christine Canady wishes for a little magic in her life, she is transported to a mystical realm where she takes the form of the legendary mermaid Undine, but when the waters bec"
"Earthquake in the Early Morning","","Mary Pope Osborne","Juvenile Fiction","http://books.google.com/books/content?id=9f5PDgAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api","The magic tree house takes Jack and Annie to San Francisco in 1906, in time for them to experience one of the biggest earthquakes the United States had ever known.","2001","3.93","96","The magic tree house takes Jack and Annie to San Francisco in 1906, in time for them to experience one of the biggest earthquakes the United States had ever known."
"The demon-haunted world","science as a candle in the dark","Carl Sagan","Body, Mind & Spirit","http://books.google.com/books/content?id=9fFydHfB_AoC&printsec=frontcover&img=1&zoom=1&source=gbs_api","Reveals the dangers associated with widespread scientific ignorance, and explains how scientific thought has served to overcome prejudice and hysteria","1996","4.27","459","Reveals the dangers associated with widespread scientific ignorance, and explains how scientific thought has served to overcome prejudice and hysteria"
"The Swarm War","","Troy Denning","Fiction","http://books.google.com/books/content?id=9fPocwhm3NAC&printsec=frontcover&img=1&zoom=1&source=gbs_api","With a war between the Killiks and Chiss threatening to engulf the entire galaxy, Luke Skywalker makes a desperate attempt to prevent war by venturing deep into hostile territory to undermine the war-making capabilities of all the combatants.","2006","3.49","357","With a war between the Killiks and Chiss threatening to engulf the entire galaxy, Luke Skywalker makes a desperate attempt to prevent war by venturing deep into hostile territory to undermine the war-"
"The Oedipus Plays of Sophocles","Oedipus the King, Oedipus at Colonus, Antigone","Sophocles;Paul Roche","Drama","http://books.google.com/books/content?id=9g55SgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api","Contains the complete texts of Sophocles' Theban trilogy about a noble family's fall from wealth and power by pride, incest, suicide, and murder.","1996","3.97","288","Contains the complete texts of Sophocles' Theban trilogy about a noble family's fall from wealth and power by pride, incest, suicide, and murder."
"Four Blondes","","Candace Bushnell","Fiction","http://books.google.com/books/content?id=9GbH3006EvQC&printsec=frontcover&img=1&zoom=1&source=gbs_api","Four very different women endure romantic intrigues, betrayals, liaisons, and victories as they seek love amid the playgrounds of the rich and powerful.","2001","2.82","256","Four very different women endure romantic intrigues, betrayals, liaisons, and victories as they seek love amid the playgrounds of the rich and powerful."
"Bare Bones","Conversations on Terror with Stephen King","Stephen King;Tim Underwood","Fiction","http://books.google.com/books/content?id=9GJAPgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api","In a series of interviews, the acknowledged master of horror fiction reveals the creative source behind his stories, discussing his life, his career, and his philosophy on writing, and what he believes makes horror stories so popular","1989","4.16","224","In a series of interviews, the acknowledged master of horror fiction reveals the creative source behind his stories, discussing his life, his career, and his philosophy on writing, and what he believe"
"Smart Love","The Compassionate Alternative to Discipline That Will Make You a Better Parent and Your Child a Better Person","Martha Heineman Pieper;William Joseph Pieper","Family & Relationships","http://books.google.com/books/content?id=9hc5NgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api","Challenging traditional child-care methods, two professionals offer a revolutionary approach to dealing with the most difficult discipline problems.","2001","3.86","272","Challenging traditional child-care methods, two professionals offer a revolutionary approach to dealing with the most difficult discipline problems."
"Mitz","The Marmoset of Bloomsbury","Sigrid NuÂ–ez","Fiction","http://books.google.com/books/content?id=9heK_IYC5ewC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","In 1934, a ""sickly pathetic marmoset"" named Mitz came into the care of Leonard Woolf. After nursing her back to health, he was rarely seen without the amusing monkey on his shoulder. A ubiquitous presence in Bloomsbury society, Mitz moved with the Woolfs between their homes in London and Sussex. She developed her own special relationships with the family's cocker spaniels and with the various members of the Woolfs' circle, among them T. S. Eliot and Vita Sackville-West. Mitz even played a vital role in helping the Woolfs escape a close call with Nazis in Germany just before World War II. Blending letters, diaries, and memoirs, acclaimed novelist Sigrid Nunez reconstructs Mitz's life, painting it against the fascinating backdrop of Bloomsbury in its twilight years. Tender, affectionate, and filled with humor, this novel offers a striking look at lives shadowed by war, death, and mental breakdown, as well as the happiness and productivity this plucky creature inspired.","2007","3.7","128","In 1934, a ""sickly pathetic marmoset"" named Mitz came into the care of Leonard Woolf. After nursing her back to health, he was rarely seen without the amusing monkey on his shoulder. A ubiquitous pres"
"The Terminal Man","","Michael Crichton","Fiction","http://books.google.com/books/content?id=9hERBFsuOcgC&printsec=frontcover&img=1&zoom=1&source=gbs_api","A team of surgeons perform an operation on a violent paranoid in an attempt to electronically control his behavior.","2002","3.36","266","A team of surgeons perform an operation on a violent paranoid in an attempt to electronically control his behavior."
"The Awakening","Complete, Authoritative Text with Biographical and Historical Contexts, Critical History, and Essays from Five Contemporary Critical Perspectives","Kate Chopin","Adultery","http://books.google.com/books/content?id=9hGQQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api","Tradition and the female talent: The awakening as a solitary book / Elaine Showalter -- Personal property: exchange value and the female self in The awakening / Margit Stange -- Thanatos and eros: Kate Chopin's The awakening / Cynthia Griffin Wolff -- ""A language which nobody understood"": emancipatory strategies in The awakening / Patricia S. Yaeger -- The construction of ambiguity in The awakening: a linguistic analysis / Paula A. Treichler.","1993","3.64","343","Tradition and the female talent: The awakening as a solitary book / Elaine Showalter -- Personal property: exchange value and the female self in The awakening / Margit Stange -- Thanatos and eros: Kat"
"Expository Writing","","Tara McCarthy","Juvenile Nonfiction","http://books.google.com/books/content?id=9HKHFJuu5OQC&printsec=frontcover&img=1&zoom=1&source=gbs_api","A Down-to-Earth Approach James Henslin shares the excitement of sociology with his acclaimed down-to-earth approach and personal writing style. Sociology: A Down-to-Earth Approach, 12/e, highlights the sociology of everyday life and its relevance to students' lives. Six central themes help students stimulate their sociological imagination: down-to-earth sociology, globalization, cultural diversity, critical thinking, the new technology, and the influence of the mass media on our lives. MySocLab is an integral part of the Henslin program. Engaging activities and assessments provide a teaching and learning system that helps students discover sociology in their lives. With MySocLab, students can watch videos on sociological core concepts, explore real-world sociology through the new Social Explorer, and develop critical thinking skills through writing. This title is available in a variety of formats and prices - digital and print. Pearson offers its titles on the devices students love through Pearson's MyLab products, CourseSmart, Amazon, and more.","1998","4.33","88","A Down-to-Earth Approach James Henslin shares the excitement of sociology with his acclaimed down-to-earth approach and personal writing style. Sociology: A Down-to-Earth Approach, 12/e, highlights th"
"Hard Sell","","Piers Anthony","Fiction","http://books.google.com/books/content?id=9IdIpyHRLfAC&printsec=frontcover&img=1&zoom=1&source=gbs_api","Mr. Fisk Centers buys real estate on Mars, where he drives a supersonic car in a suicide race and visits a robot mortician for a sample embalming. Reprint.","1993","3.39","268","Mr. Fisk Centers buys real estate on Mars, where he drives a supersonic car in a suicide race and visits a robot mortician for a sample embalming. Reprint."
"Harry Potter and the Sorcerer's Stone (Book 1)","","Rowling, J.K.","Juvenile Fiction","http://books.google.com/books/content?id=9jA0BgAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api","In Harry Potter and the Sorcerer's Stone, Harry, an orphan, lives with the Dursleys, his horrible aunt and uncle, and their abominable son, Dudley. One day just before his eleventh birthday, an owl tries to deliver a mysterious letterâ€”the first of a sequence of events that end in Harry meeting a giant man named Hagrid. Hagrid explains Harry's history to him: When he was a baby, the Dark wizard, Lord Voldemort, attacked and killed his parents in an attempt to kill Harry; but the only mark on Harry was a mysterious lightning-bolt scar on his forehead. Now he has been invited to attend Hogwarts School of Witchcraft and Wizardry, where the headmaster is the great wizard Albus Dumbledore. Harry visits Diagon Alley to get his school supplies, especially his very own wand. To get to school, he takes the Hogwarts Express from platform nine and three-quarters at King's Cross Station. On the train, he meets two fellow students who will become his closest friends: Ron Weasley and Hermione Granger. Harry is assigned to Gryffindor House at Hogwarts, and soon becomes the youngest-ever Seeker on the House Quidditch team. He also studies Potions with Professor Severus Snape, who displays a deep and abiding dislike for Harry, and Defense Against the Dark Arts with nervous Professor Quirrell; he and his friends defeat a mountain troll, help Hagrid raise a dragon, and explore the wonderful, fascinating world of Hogwarts. But all events lead irrevocably toward a second encounter with Lord Voldemort, who seeks an object of legend known as the Sorcerer's Stoneâ€¦","2015","4.47","320","In Harry Potter and the Sorcerer's Stone, Harry, an orphan, lives with the Dursleys, his horrible aunt and uncle, and their abominable son, Dudley. One day just before his eleventh birthday, an owl tr"
"Bored of the Rings","A Parody of J.R.R. Tolkien's The Lord of the Rings","Henry Beard;Harvard Lampoon;Douglas C. Kenney","Fiction","http://books.google.com/books/content?id=9kt9QgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api","Two authors from The Harvard Lampoon present a hilarious parody of J. R. R. Tolkien's epic fantasy, The Lord of the Rings. Reprint.","1993","3.12","149","Two authors from The Harvard Lampoon present a hilarious parody of J. R. R. Tolkien's epic fantasy, The Lord of the Rings. Reprint."
"Awakening","","Robin Wasserman","Juvenile Fiction","http://books.google.com/books/content?id=9lghcQodq5UC&printsec=frontcover&img=1&zoom=1&source=gbs_api","Thirteen-year-old J.D. struggles to understand who she is, where she came from, and why she has nightmares.","2007","3.95","207","Thirteen-year-old J.D. struggles to understand who she is, where she came from, and why she has nightmares."
"Empire 2.0","A Modest Proposal for a United States of the West","RÃ©gis Debray","Political Science","http://books.google.com/books/content?id=9Lzerx2k-G4C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","As citizens of newly-admitted states in the larger US of W, hitherto politically impotent Europeans will be able to vote in the only elections that really matter.""--Jacket.","2004","4.75","144","As citizens of newly-admitted states in the larger US of W, hitherto politically impotent Europeans will be able to vote in the only elections that really matter.""--Jacket."
"1 Henry IV","Text Edited from the First Quarto : Contexts and Sources, Criticism","William Shakespeare","Drama","http://books.google.com/books/content?id=9mJ5QgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api","The text, with few departures, is that of the First Quarto (1598) edition of the play.","2003","3.82","432","The text, with few departures, is that of the First Quarto (1598) edition of the play."
"Running from the Deity","","Alan Dean Foster","Fiction","http://books.google.com/books/content?id=9mnzmJ3Ksn0C&printsec=frontcover&img=1&zoom=1&source=gbs_api","As a Great Darkness threatens to engulf the entire universe, Flinx and his mini-drag companion Pip may finally get the chance to face down the ultimate evil. Reprint.","2006","3.8","280","As a Great Darkness threatens to engulf the entire universe, Flinx and his mini-drag companion Pip may finally get the chance to face down the ultimate evil. Reprint."
"The Best of H.P. Lovecraft","Bloodcurdling Tales of Horror and the Macabre","H. P. Lovecraft","Fiction","http://books.google.com/books/content?id=9MSaF7En79EC&printsec=frontcover&img=1&zoom=1&source=gbs_api","Offers sixteen Lovecraft tales of horror, including ""The Shadow Out of Time.""","1982","4.31","406","Offers sixteen Lovecraft tales of horror, including ""The Shadow Out of Time."""
"Medea","","EurÃ­pides;Michael Collier;Georgia Machemer","Drama","http://books.google.com/books/content?id=9mViAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api","Medea, whose magical powers helped Jason and the Argonauts take the Golden Fleece, remains one of the strongest female characters ever to appear on stage.","2006","3.85","116","Medea, whose magical powers helped Jason and the Argonauts take the Golden Fleece, remains one of the strongest female characters ever to appear on stage."
"The Alienist","","Caleb Carr","Fiction","http://books.google.com/books/content?id=9mWMDQAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api","When a madman begins stalking victims on the streets of 1896 New York, a team of investigators is forced to apply radical and untested techniques that include fingerprinting and the controversial science of psychology. Reprint. 25,000 first printing.","2006","4.06","498","When a madman begins stalking victims on the streets of 1896 New York, a team of investigators is forced to apply radical and untested techniques that include fingerprinting and the controversial scie"
"Bakkhai","","Euripides;Reginald Gibbons;Charles Segal","Drama","http://books.google.com/books/content?id=9n_IHbgieKYC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","""Regarded by many as Euripides' masterpiece, Bakkhai examines both the horror and the beauty of the religious ecstasy that Dionysos brings to Thebes. His offer of closeness to nature and freedom from the constraints of civilization, especially for women, excites bitter resistance as well as fanatical acceptance."" ""Disguised as a young holy man and accompanied by his band of Asian worshipers, the god Dionysos arrives in Greece at Thebes, proclaims his godhood and his new religion, and drives the Theban women mad. When the Theban king, Pentheus, tries to imprison him, Dionysos afflicts Pentheus himself with madness and leads him, dressed as a bacchant, to the mountains, where his own mother, Agaue, and her companions tear him to pieces in an insane Bacchic frenzy.""","2001","3.86","160","""Regarded by many as Euripides' masterpiece, Bakkhai examines both the horror and the beauty of the religious ecstasy that Dionysos brings to Thebes. His offer of closeness to nature and freedom from "
"The New Centurions","","Joseph Wambaugh","Fiction","http://books.google.com/books/content?id=9N_u5NJSrG4C&printsec=frontcover&img=1&zoom=1&source=gbs_api","Depicts the brutal experiences and rigorous training endured by three Los Angeles policemen","1987","3.93","368","Depicts the brutal experiences and rigorous training endured by three Los Angeles policemen"
"Politics","","Aristotle;Benjamin Jowett;H. W. C. Davis","Political Science","http://books.google.com/books/content?id=9NMoAwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","Presents a English language translation of Aristotle's book about the nature of the state, constitutions, revolutions, democracy, and oligarchy.","2000","3.93","368","Presents a English language translation of Aristotle's book about the nature of the state, constitutions, revolutions, democracy, and oligarchy."
"Underground!","The Disinformation Guide to Ancient Civilizations, Astonishing Archaeology and Hidden History","Preston Peet","Education","http://books.google.com/books/content?id=9nNGMjm8VmgC&printsec=frontcover&img=1&zoom=1&source=gbs_api","Everything from the fingerprints of the gods through the hidden history of the human race.","2005","3.84","343","Everything from the fingerprints of the gods through the hidden history of the human race."
"Ghosthunters and the Muddy Monster of Doom!","Ghosthunters Bk. 4","Cornelia Caroline Funke","Ghost stories","http://books.google.com/books/content?id=9NUJzQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api","With the fate of the world resting on the outcome of his battle against the mud-dripping minotaur, Tom's final exam is one that is certain to test his combined knowledge in the field and, if he survives, rightfully earn him his Ghosthunting Diploma.","2007","3.92","176","With the fate of the world resting on the outcome of his battle against the mud-dripping minotaur, Tom's final exam is one that is certain to test his combined knowledge in the field and, if he surviv"
"War and Peace","","Leo Tolstoy;graf Leo Tolstoy","Fiction","http://books.google.com/books/content?id=9nxfsPujsYoC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","Presents the classic epic of the Napoleonic Wars and their effects on four Russian families","1998","4.11","1392","Presents the classic epic of the Napoleonic Wars and their effects on four Russian families"
"Outlander","","Timothy Truman;Tom Raney","Juvenile Fiction","http://books.google.com/books/content?id=9NZoNAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api","In order to complete his first assignment given to him by the Jedi council to find Jedi Sharad Hett and bring him home, Ki must first face the evil krayt dragon and the bounty hunter Aurra Sing. Original.","2001","3.46","144","In order to complete his first assignment given to him by the Jedi council to find Jedi Sharad Hett and bring him home, Ki must first face the evil krayt dragon and the bounty hunter Aurra Sing. Origi"
"The Big Empty","Dialogues on Politics, Sex, God, Boxing, Morality, Myth, Poker and Bad Conscience in America","Norman Mailer;John Buffalo Mailer","Literary Collections","http://books.google.com/books/content?id=9oBpswEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api","Questions are posed, writes Norman Mailer, ""in the hope they will open into richer insights, which in turn will bring forth sharper questions."" In this series of conversations, John Buffalo Mailer, 27, poses a series of questions to his father, challenging the reflections and insights of the man who has dominated and defined much of American letters for the past sixty years. Their wide-ranging discussions take place over the course of a year, beginning in July 2004. Set against the backdrop of George W. Bush's re-election campaign and the war in Iraq, each considers what it means to live in America today. John asks his father to look back to World War II, and explore the parallels that canâ€”and cannotâ€”be drawn between that time and our current post-9/11 consciousness. As their conversations develop, the topics shift from the political to the personal to the political again, as they duck and weave around one another. They explore their shared admiration of boxing and poker, the nature of marriage and love, television, movies, writing, and what it means to be a part of this extraordinary family.","2006","3.31","218","Questions are posed, writes Norman Mailer, ""in the hope they will open into richer insights, which in turn will bring forth sharper questions."" In this series of conversations, John Buffalo Mailer, 27"
"How I Became a Pirate","","Melinda Long;David Shannon","Juvenile Fiction","http://books.google.com/books/content?id=9OdooYJSetgC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","Jeremy Jacob joins Braid Beard and his pirate crew and finds out about pirate language, pirate manners, and other aspects of their life.","2003","4.08","44","Jeremy Jacob joins Braid Beard and his pirate crew and finds out about pirate language, pirate manners, and other aspects of their life."
"The Handmaid's Tale","","Margaret Atwood","Dystopias","http://books.google.com/books/content?id=9orUvwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api","(Book Jacket Status: Jacketed) A gripping vision of our society radically overturned by a theocratic revolution, Margaret Atwoodâ€™s The Handmaid's Tale has become one of the most powerful and most widely read novels of our time. Offred is a Handmaid in the Republic of Gilead, serving in the household of the enigmatic Commander and his bitter wife. She may go out once a day to markets whose signs are now pictures because women are not allowed to read. She must pray that the Commander makes her pregnant, for in a time of declining birthrates her value lies in her fertility, and failure means exile to the dangerously polluted Colonies. Offred can remember a time when she lived with her husband and daughter and had a job, before she lost even her own name. Now she navigates the intimate secrets of those who control her every move, risking her life in breaking the rules. Like Aldous Huxleyâ€™s Brave New World and George Orwellâ€™s Nineteen Eighty-Four, The Handmaid's Tale has endured not only as a literary landmark but as a warning of a possible future that is still chillingly relevant.","2006","4.09","368","(Book Jacket Status: Jacketed) A gripping vision of our society radically overturned by a theocratic revolution, Margaret Atwoodâ€™s The Handmaid's Tale has become one of the most powerful and most wi"
"The Basque History of the World","","Mark Kurlansky","History","http://books.google.com/books/content?id=9P0gvGJSwJoC&printsec=frontcover&img=1&zoom=1&source=gbs_api","A history of the Basque people of Spain speculates on the origins of this enigmatic group of Europeans whose language and culture have long baffled anthropologists. Reprint.","1999","3.84","400","A history of the Basque people of Spain speculates on the origins of this enigmatic group of Europeans whose language and culture have long baffled anthropologists. Reprint."
"Baby Einstein: Sweet Dreams, Mimi","","Julie Aigner-Clark","Juvenile Fiction","http://books.google.com/books/content?id=9PYFAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api","Children will delight in hearing and imagining all the wonderful sleepytime images Mimi's mama recites while tucking Mimi in for a night filled with the sweetest of dreams.","2004","3.13","16","Children will delight in hearing and imagining all the wonderful sleepytime images Mimi's mama recites while tucking Mimi in for a night filled with the sweetest of dreams."
"The Outsiders","","S. E. Hinton;Jodi Picoult","Fiction","http://books.google.com/books/content?id=9PyIPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api","The struggle of three brothers to stay together after their parent's death and their quest for identity among the conflicting values of their adolescent society.","1967","4.08","160","The struggle of three brothers to stay together after their parent's death and their quest for identity among the conflicting values of their adolescent society."
"The Clock Of The Long Now","Time and Responsibility","Stewart Brand","Philosophy","http://books.google.com/books/content?id=9Q18tAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api","Using the designing and building of the Clock of the Long Now as a framework, this is a book about the practical use of long time perspective: how to get it, how to use it, how to keep it in and out of sight. Here are the central questions it inspires: How do we make long-term thinking automatic and common instead of difficult and rare? Discipline in thought allows freedom. One needs the space and reliability to predict continuity to have the confidence not to be afraid of revolutions Taking the time to think of the future is more essential now than ever, as culture accelerates beyond its ability to be measured Probable things are vastly outnumbered by countless near-impossible eventualities. Reality is statistically forced to be extraordinary; fiction is not allowed this freedom This is a potent book that combines the chronicling of fantastic technology with equally visionary philosophical inquiry.","2000","4.11","208","Using the designing and building of the Clock of the Long Now as a framework, this is a book about the practical use of long time perspective: how to get it, how to use it, how to keep it in and out o"
"Words of Silk","","Sandra Brown","Fiction","http://books.google.com/books/content?id=9QiYGwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api","Laney McLeod's life changes the minute she gets stuck in an elevator in Manhattan-and relies on handsome stranger Deke Sargent to help her fight her claustrophobia. When the power comes back on, Deke and Laney find themselves in a passionate embrace that leads to a night of love. Shocked at her indiscretion, Laney disappears the next morning. Months later, she receives an even greater shock: Deke shows up in her life with an astounding announcement. Unable to forget the chemistry between them, but afraid that she's just another notch on this wealthy playboy's bedpost, Laney is about to discover an even deeper fear...one that she must face or forever lose the one man she can't resist.","2005","3.55","224","Laney McLeod's life changes the minute she gets stuck in an elevator in Manhattan-and relies on handsome stranger Deke Sargent to help her fight her claustrophobia. When the power comes back on, Deke "
"Edge of Victory II","Rebirth","Greg Keyes","Fiction","http://books.google.com/books/content?id=9QvTCwAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api","As the Yuuzhan Vong search the universe for Jedi to destroy, Han Solo and Leia Organa Solo attempt to reinforce the Jedi resistance, while Anakin and Tahiri jump into hyperspace to evade pursuing New Republic forces who believe them to be murderers.","2001","3.77","292","As the Yuuzhan Vong search the universe for Jedi to destroy, Han Solo and Leia Organa Solo attempt to reinforce the Jedi resistance, while Anakin and Tahiri jump into hyperspace to evade pursuing New "
"Salt","A World History","Mark Kurlansky","History","http://books.google.com/books/content?id=9RdmHAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api","Explores the role of salt in shaping history, discussing how one of the world's most sought-after commodities has influenced economics, science, politics, religion, and eating customs.","2003","3.74","484","Explores the role of salt in shaping history, discussing how one of the world's most sought-after commodities has influenced economics, science, politics, religion, and eating customs."
"Spook: Science Tackles the Afterlife","","Mary Roach","Language Arts & Disciplines","http://books.google.com/books/content?id=9S2yrVKkzicC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","Draws on the achievements of scientists, engineers, and mediums to consider the feasibility of life after death, from a reincarnation researcher's experimentation with out-of-body experiences to laboratory investigations into ghosts.","2006","3.58","311","Draws on the achievements of scientists, engineers, and mediums to consider the feasibility of life after death, from a reincarnation researcher's experimentation with out-of-body experiences to labor"
"Saint Joan","","George Bernard Shaw","Drama","http://books.google.com/books/content?id=9S6eVEmCko4C&printsec=frontcover&img=1&zoom=1&source=gbs_api","One of Shaw's most unusual and enduringly popular plays. With SAINT JOAN (1923) Shaw reached the height of his fame and Joan is one of his finest creations; forceful, vital, and rebelling against the values that surround her. The play distils Shaw's views on the subjects of politics, religion and creative evolution.","2003","3.79","160","One of Shaw's most unusual and enduringly popular plays. With SAINT JOAN (1923) Shaw reached the height of his fame and Joan is one of his finest creations; forceful, vital, and rebelling against the "
"The Moviegoer","","Walker Percy","Fiction","http://books.google.com/books/content?id=9ShhHmdoSF0C&printsec=frontcover&img=1&zoom=1&source=gbs_api","Kate's desperate struggle to maintain her sanity forces her cousin Binx to relinquish his dreamworld","1998","3.69","242","Kate's desperate struggle to maintain her sanity forces her cousin Binx to relinquish his dreamworld"
"Guilty Pleasures","","Laurell K. Hamilton","Fiction","http://books.google.com/books/content?id=9SOVyAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api","Vampire hunter Anita Blake (known by the vampires she kills as ""The Executioner"") is hired by the most powerful vampire in town to find out who has been murdering vampires. Reprint.","2004","4.02","355","Vampire hunter Anita Blake (known by the vampires she kills as ""The Executioner"") is hired by the most powerful vampire in town to find out who has been murdering vampires. Reprint."
